epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.3884,3.41879,0.36719,0.69063,2.71826,8.27957e-05,8.27957e-05,8.27957e-05
2,74.892,2.18036,0.64219,0.90938,1.28711,0.000157906,0.000157906,0.000157906
3,107.607,1.29364,0.7375,0.95781,0.85413,0.000224766,0.000224766,0.000224766
4,140.186,0.93939,0.77656,0.95938,0.73232,0.000212875,0.000212875,0.000212875
5,172.8,0.77354,0.79688,0.96094,0.67469,0.0002005,0.0002005,0.0002005
6,205.95,0.69899,0.80937,0.96406,0.63495,0.000188125,0.000188125,0.000188125
7,239.249,0.63531,0.82812,0.96719,0.59579,0.00017575,0.00017575,0.00017575
8,273.781,0.57304,0.82812,0.97188,0.56165,0.000163375,0.000163375,0.000163375
9,312.586,0.52062,0.83906,0.96719,0.5575,0.000151,0.000151,0.000151
10,348.257,0.48392,0.84531,0.97656,0.55259,0.000138625,0.000138625,0.000138625
11,391.642,0.45829,0.83125,0.97031,0.58341,0.00012625,0.00012625,0.00012625
12,430.267,0.41085,0.83281,0.97188,0.55507,0.000113875,0.000113875,0.000113875
13,463.261,0.4211,0.83438,0.97031,0.55724,0.0001015,0.0001015,0.0001015
14,500.015,0.38747,0.82812,0.975,0.55989,8.9125e-05,8.9125e-05,8.9125e-05
15,536.658,0.35028,0.83438,0.97188,0.55818,7.675e-05,7.675e-05,7.675e-05
16,576.793,0.35164,0.83594,0.97344,0.54481,6.4375e-05,6.4375e-05,6.4375e-05
17,612.586,0.35229,0.84219,0.97188,0.54172,5.2e-05,5.2e-05,5.2e-05
18,649.324,0.3268,0.84219,0.97656,0.53767,3.9625e-05,3.9625e-05,3.9625e-05
19,685.737,0.3157,0.84062,0.97188,0.5387,2.725e-05,2.725e-05,2.725e-05
20,724.175,0.29528,0.84375,0.97656,0.54559,1.4875e-05,1.4875e-05,1.4875e-05
