epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.6016,1.85482,0.59463,0.93976,1.19513,0.000237612,0.000237612,0.000237612
2,88.7842,1.38925,0.69597,0.95686,0.93073,0.000428526,0.000428526,0.000428526
3,128.605,1.20896,0.72283,0.96988,0.83865,0.000572317,0.000572317,0.000572317
4,167.68,1.09698,0.76231,0.97273,0.72765,0.000501942,0.000501942,0.000501942
5,207.954,1.01427,0.80098,0.97761,0.62431,0.000431256,0.000431256,0.000431256
6,249.312,0.92444,0.81604,0.98209,0.57575,0.00036057,0.00036057,0.00036057
7,291.265,0.85312,0.81237,0.97924,0.55734,0.000289884,0.000289884,0.000289884
8,332.291,0.80113,0.83883,0.98331,0.50689,0.000219198,0.000219198,0.000219198
9,373.794,0.75752,0.8486,0.98453,0.48262,0.000148512,0.000148512,0.000148512
10,415.291,0.71697,0.86365,0.98575,0.45116,7.7826e-05,7.7826e-05,7.7826e-05
