epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,178.306,2.72806,0.68056,0.89538,1.20768,6.164e-05,6.164e-05,6.164e-05
2,349.532,1.36091,0.77282,0.94221,0.81028,0.000111099,0.000111099,0.000111099
3,513.746,1.09991,0.80612,0.95607,0.67569,0.000148349,0.000148349,0.000148349
4,682.683,0.96943,0.82546,0.96241,0.61034,0.000130055,0.000130055,0.000130055
5,852.837,0.88728,0.83781,0.96756,0.55847,0.00011174,0.00011174,0.00011174
6,1018.91,0.81311,0.84275,0.96971,0.53058,9.3425e-05,9.3425e-05,9.3425e-05
7,1189.78,0.77352,0.85156,0.96907,0.51157,7.511e-05,7.511e-05,7.511e-05
8,1359.05,0.73684,0.85725,0.97111,0.49826,5.6795e-05,5.6795e-05,5.6795e-05
9,1522.48,0.71361,0.85983,0.97132,0.48535,3.848e-05,3.848e-05,3.848e-05
10,1686.62,0.68686,0.8623,0.9725,0.47609,2.0165e-05,2.0165e-05,2.0165e-05
