epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,92.0784,3.38371,0.41287,0.71115,2.6496,8.27957e-05,8.27957e-05,8.27957e-05
2,180.659,2.14489,0.6719,0.92308,1.19773,0.000149682,0.000149682,0.000149682
3,268.956,1.24375,0.73469,0.97174,0.79687,0.000200069,0.000200069,0.000200069
4,357.065,0.89353,0.78179,0.97174,0.66486,0.00017575,0.00017575,0.00017575
5,446.232,0.74202,0.80377,0.97959,0.59526,0.000151,0.000151,0.000151
6,533.124,0.61927,0.80377,0.97645,0.57641,0.00012625,0.00012625,0.00012625
7,629.902,0.59796,0.8179,0.97959,0.52122,0.0001015,0.0001015,0.0001015
8,721.708,0.54444,0.82575,0.98116,0.53063,7.675e-05,7.675e-05,7.675e-05
9,808.658,0.52024,0.82418,0.97959,0.52655,5.2e-05,5.2e-05,5.2e-05
10,895.669,0.46763,0.81947,0.97802,0.51611,2.725e-05,2.725e-05,2.725e-05
