epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,160.125,2.88827,0.59185,0.89457,1.79674,8.29016e-05,8.29016e-05,8.29016e-05
2,317.736,2.11679,0.68111,0.93984,1.22272,0.000158006,0.000158006,0.000158006
3,474.232,1.72236,0.71798,0.95408,0.96875,0.000224861,0.000224861,0.000224861
4,630.228,1.52046,0.74127,0.96378,0.84129,0.000212875,0.000212875,0.000212875
5,787.043,1.3883,0.77878,0.96831,0.71116,0.0002005,0.0002005,0.0002005
6,942.808,1.24188,0.77814,0.97542,0.67474,0.000188125,0.000188125,0.000188125
7,1099.4,1.17359,0.81501,0.97801,0.60133,0.00017575,0.00017575,0.00017575
8,1255.38,1.09487,0.80983,0.9806,0.58508,0.000163375,0.000163375,0.000163375
9,1411.61,1.06268,0.83894,0.9806,0.52176,0.000151,0.000151,0.000151
10,1569.74,1.01962,0.83053,0.9806,0.51283,0.000138625,0.000138625,0.000138625
11,1727.37,0.95552,0.84476,0.98383,0.48468,0.00012625,0.00012625,0.00012625
12,1883.79,0.93535,0.86417,0.98836,0.45281,0.000113875,0.000113875,0.000113875
13,2050.92,0.89461,0.86093,0.989,0.44213,0.0001015,0.0001015,0.0001015
14,2223.48,0.88582,0.8674,0.9903,0.42988,8.9125e-05,8.9125e-05,8.9125e-05
15,2394.58,0.84365,0.86546,0.98706,0.4232,7.675e-05,7.675e-05,7.675e-05
16,2562.91,0.86191,0.8784,0.9903,0.39698,6.4375e-05,6.4375e-05,6.4375e-05
17,2728.49,0.82617,0.87581,0.989,0.40061,5.2e-05,5.2e-05,5.2e-05
18,2885.54,0.78487,0.8771,0.99094,0.38518,3.9625e-05,3.9625e-05,3.9625e-05
19,3060.82,0.79396,0.8771,0.98836,0.38698,2.725e-05,2.725e-05,2.725e-05
20,3228.5,0.7792,0.86999,0.9903,0.38621,1.4875e-05,1.4875e-05,1.4875e-05
